timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1556035930824,14,Home,200,,Thread-Gruppe 1-2,text,true,,8822,147,2,2,http://localhost:30080/tools.descartes.teastore.webui/,14,0,1
1556035930797,41,Home,200,,Thread-Gruppe 1-1,text,true,,8822,147,2,2,http://localhost:30080/tools.descartes.teastore.webui/,41,0,23
1556035930846,25,Login,200,,Thread-Gruppe 1-2,text,true,,10104,1020,2,2,http://localhost:30080/tools.descartes.teastore.webui/,14,0,0
1556035930846,14,Login-0,302,,Thread-Gruppe 1-2,,true,,755,275,2,2,http://localhost:30080/tools.descartes.teastore.webui/loginAction,14,0,0
1556035930865,6,Login-1,200,,Thread-Gruppe 1-2,text,true,,9349,745,2,2,http://localhost:30080/tools.descartes.teastore.webui/,6,0,0
1556035930846,25,Login,200,,Thread-Gruppe 1-1,text,true,,10104,1020,2,2,http://localhost:30080/tools.descartes.teastore.webui/,16,0,0
1556035930846,16,Login-0,302,,Thread-Gruppe 1-1,,true,,755,275,2,2,http://localhost:30080/tools.descartes.teastore.webui/loginAction,16,0,0
1556035930865,6,Login-1,200,,Thread-Gruppe 1-1,text,true,,9349,745,2,2,http://localhost:30080/tools.descartes.teastore.webui/,6,0,0
1556035930873,12,List Products,200,,Thread-Gruppe 1-1,text,true,,97616,771,2,2,http://localhost:30080/tools.descartes.teastore.webui/category?category=3&page=1,11,0,0
1556035930873,14,List Products,200,,Thread-Gruppe 1-2,text,true,,105599,771,2,2,http://localhost:30080/tools.descartes.teastore.webui/category?category=6&page=1,13,0,0
1556035930924,36,Home,200,,Thread-Gruppe 1-3,text,true,,8822,147,3,3,http://localhost:30080/tools.descartes.teastore.webui/,35,0,1
1556035930898,69,Look at Product,200,,Thread-Gruppe 1-1,text,true,,94743,758,3,3,http://localhost:30080/tools.descartes.teastore.webui/product?id=20,68,0,0
1556035930898,77,Look at Product,200,,Thread-Gruppe 1-2,text,true,,108702,759,3,3,http://localhost:30080/tools.descartes.teastore.webui/product?id=241,77,0,0
1556035930961,19,Login,200,,Thread-Gruppe 1-3,text,true,,10103,1019,3,3,http://localhost:30080/tools.descartes.teastore.webui/,13,0,0
1556035930961,13,Login-0,302,,Thread-Gruppe 1-3,,true,,754,275,3,3,http://localhost:30080/tools.descartes.teastore.webui/loginAction,13,0,0
1556035930975,5,Login-1,200,,Thread-Gruppe 1-3,text,true,,9349,744,3,3,http://localhost:30080/tools.descartes.teastore.webui/,5,0,0
1556035930967,24,Add Product to Cart,200,,Thread-Gruppe 1-1,text,true,,27011,1737,3,3,http://localhost:30080/tools.descartes.teastore.webui/cart,6,0,0
1556035930967,6,Add Product to Cart-0,302,,Thread-Gruppe 1-1,,true,,884,863,3,3,http://localhost:30080/tools.descartes.teastore.webui/cartAction,6,0,0
1556035930973,18,Add Product to Cart-1,200,,Thread-Gruppe 1-1,text,true,,26127,874,3,3,http://localhost:30080/tools.descartes.teastore.webui/cart,18,0,0
1556035930981,11,List Products,200,,Thread-Gruppe 1-3,text,true,,100621,770,3,3,http://localhost:30080/tools.descartes.teastore.webui/category?category=2&page=1,10,0,0
1556035930976,23,Add Product to Cart,200,,Thread-Gruppe 1-2,text,true,,28915,1739,3,3,http://localhost:30080/tools.descartes.teastore.webui/cart,5,0,0
1556035930976,5,Add Product to Cart-0,302,,Thread-Gruppe 1-2,,true,,885,864,3,3,http://localhost:30080/tools.descartes.teastore.webui/cartAction,5,0,0
1556035930981,18,Add Product to Cart-1,200,,Thread-Gruppe 1-2,text,true,,28030,875,3,3,http://localhost:30080/tools.descartes.teastore.webui/cart,18,0,0
1556035930993,12,List Products with different page,200,,Thread-Gruppe 1-1,text,true,,97636,896,3,3,http://localhost:30080/tools.descartes.teastore.webui/category?category=3&page=1,11,0,0
1556035930994,21,Look at Product,200,,Thread-Gruppe 1-3,text,true,,86980,758,3,3,http://localhost:30080/tools.descartes.teastore.webui/product?id=232,21,0,0
1556035931021,5,Home,200,,Thread-Gruppe 1-4,text,true,,8822,147,4,4,http://localhost:30080/tools.descartes.teastore.webui/,5,0,1
1556035931000,19,List Products with different page,200,,Thread-Gruppe 1-2,text,true,,109361,897,3,3,http://localhost:30080/tools.descartes.teastore.webui/category?category=6&page=5,17,0,0
1556035931008,24,Add Product 2 to Cart,200,,Thread-Gruppe 1-1,text,true,,27695,1979,4,4,http://localhost:30080/tools.descartes.teastore.webui/cart,4,0,0
1556035931008,4,Add Product 2 to Cart-0,302,,Thread-Gruppe 1-1,,true,,1001,988,4,4,http://localhost:30080/tools.descartes.teastore.webui/cartAction,4,0,0
1556035931012,20,Add Product 2 to Cart-1,200,,Thread-Gruppe 1-1,text,true,,26694,991,4,4,http://localhost:30080/tools.descartes.teastore.webui/cart,20,0,0
1556035931033,10,Logout,200,,Thread-Gruppe 1-1,text,true,,10479,1824,4,4,http://localhost:30080/tools.descartes.teastore.webui/,3,0,0
1556035931033,3,Logout-0,302,,Thread-Gruppe 1-1,,true,,1344,1089,4,4,http://localhost:30080/tools.descartes.teastore.webui/loginAction,3,0,0
1556035931036,7,Logout-1,200,,Thread-Gruppe 1-1,text,true,,9135,735,4,4,http://localhost:30080/tools.descartes.teastore.webui/,7,0,0
1556035931027,20,Login,200,,Thread-Gruppe 1-4,text,true,,10103,1019,4,4,http://localhost:30080/tools.descartes.teastore.webui/,15,0,0
1556035931027,15,Login-0,302,,Thread-Gruppe 1-4,,true,,754,275,4,4,http://localhost:30080/tools.descartes.teastore.webui/loginAction,15,0,0
1556035931043,4,Login-1,200,,Thread-Gruppe 1-4,text,true,,9349,744,4,4,http://localhost:30080/tools.descartes.teastore.webui/,4,0,0
1556035931017,33,Add Product to Cart,200,,Thread-Gruppe 1-3,text,true,,25259,1737,4,4,http://localhost:30080/tools.descartes.teastore.webui/cart,4,0,0
1556035931017,4,Add Product to Cart-0,302,,Thread-Gruppe 1-3,,true,,884,863,4,4,http://localhost:30080/tools.descartes.teastore.webui/cartAction,4,0,0
1556035931022,28,Add Product to Cart-1,200,,Thread-Gruppe 1-3,text,true,,24375,874,4,4,http://localhost:30080/tools.descartes.teastore.webui/cart,28,0,0
1556035931051,6,Home,200,,Thread-Gruppe 1-1,text,true,,8822,147,4,4,http://localhost:30080/tools.descartes.teastore.webui/,6,0,1
1556035931027,33,Add Product 2 to Cart,200,,Thread-Gruppe 1-2,text,true,,29616,1984,4,4,http://localhost:30080/tools.descartes.teastore.webui/cart,7,0,0
1556035931027,7,Add Product 2 to Cart-0,302,,Thread-Gruppe 1-2,,true,,1004,990,4,4,http://localhost:30080/tools.descartes.teastore.webui/cartAction,7,0,0
1556035931035,25,Add Product 2 to Cart-1,200,,Thread-Gruppe 1-2,text,true,,28612,994,4,4,http://localhost:30080/tools.descartes.teastore.webui/cart,25,0,0
1556035931048,15,List Products,200,,Thread-Gruppe 1-4,text,true,,97616,770,4,4,http://localhost:30080/tools.descartes.teastore.webui/category?category=3&page=1,14,0,0
1556035931051,16,List Products with different page,200,,Thread-Gruppe 1-3,text,true,,96584,896,4,4,http://localhost:30080/tools.descartes.teastore.webui/category?category=2&page=4,15,0,0
